,repo_id,forks,year_month,community
1388,203736612,0,2021-02,
1389,259220361,0,2021-02,
1390,171811851,0,2021-02,
1391,296268741,0,2021-02,
1392,319575342,0,2021-02,
1393,225549581,0,2021-02,
1394,233520812,0,2021-02,
1395,274012656,0,2021-02,
1396,276845708,0,2021-02,
1397,227880026,0,2021-02,
1398,273214029,246,2021-03,PaddleGAN
1399,262296122,149,2021-03,PaddleOCR
1400,65711522,107,2021-03,Paddle
1401,217475193,51,2021-03,PaddleDetection
1402,336274588,41,2021-03,PaddleNLP
1403,162672577,40,2021-03,PaddleHub
1404,204380779,37,2021-03,PaddleSeg
1405,104208128,34,2021-03,
1406,88868842,33,2021-03,models
1407,240226378,33,2021-03,
1408,131044128,30,2021-03,
1409,259513732,24,2021-03,
1410,246509073,20,2021-03,
1411,173032424,19,2021-03,
1412,251201169,19,2021-03,
1413,136450404,19,2021-03,
1414,191286408,18,2021-03,
1415,173544440,17,2021-03,
1416,110688239,11,2021-03,
1417,76616099,10,2021-03,
1418,114885555,10,2021-03,
1419,228290594,8,2021-03,PaddleSlim
1420,261698998,7,2021-03,
1421,250154445,7,2021-03,
1422,178685945,7,2021-03,
1423,203514079,5,2021-03,
1424,196743910,4,2021-03,
1425,161509700,4,2021-03,
1426,264782838,3,2021-03,
1427,312259012,3,2021-03,
1428,321995806,3,2021-03,
1429,314704349,3,2021-03,
1430,127058653,3,2021-03,
1431,274012656,3,2021-03,
1432,276845708,2,2021-03,
1433,227347371,2,2021-03,
1434,210873203,2,2021-03,
1435,225549581,2,2021-03,
1436,302509341,1,2021-03,
1437,319575342,1,2021-03,
1438,240230342,1,2021-03,
1439,333611338,1,2021-03,
1440,171811851,1,2021-03,
1441,244790548,1,2021-03,
1442,210520127,1,2021-03,
1443,164796418,1,2021-03,
1444,233520812,1,2021-03,
1445,103466347,1,2021-03,
1446,98599362,0,2021-03,
1447,89484677,0,2021-03,
1448,227880026,0,2021-03,
1449,75912778,0,2021-03,
1450,203736612,0,2021-03,
1451,289874518,0,2021-03,
1452,259220361,0,2021-03,
1453,133907444,0,2021-03,
1454,243677660,0,2021-03,
1455,228297846,0,2021-03,
1456,262296122,201,2021-04,PaddleOCR
1457,273214029,122,2021-04,PaddleGAN
1458,217475193,110,2021-04,PaddleDetection
1459,65711522,100,2021-04,Paddle
1460,336274588,59,2021-04,PaddleNLP
1461,88868842,46,2021-04,models
1462,162672577,32,2021-04,PaddleHub
1463,204380779,27,2021-04,PaddleSeg
1464,131044128,26,2021-04,
1465,240226378,24,2021-04,
1466,251201169,22,2021-04,
1467,246509073,21,2021-04,
1468,104208128,21,2021-04,
1469,173544440,21,2021-04,
1470,259513732,15,2021-04,
1471,203514079,12,2021-04,
1472,136450404,10,2021-04,
1473,178685945,10,2021-04,
1474,228290594,8,2021-04,PaddleSlim
1475,312259012,8,2021-04,
1476,173032424,8,2021-04,
1477,191286408,7,2021-04,
1478,164796418,7,2021-04,
1479,114885555,6,2021-04,
1480,264782838,6,2021-04,
1481,76616099,4,2021-04,
1482,161509700,4,2021-04,
1483,210873203,4,2021-04,
1484,110688239,4,2021-04,
1485,127058653,4,2021-04,
1486,261698998,4,2021-04,
1487,302509341,3,2021-04,
1488,244790548,3,2021-04,
1489,314704349,3,2021-04,
1490,250154445,3,2021-04,
1491,210520127,2,2021-04,
1492,228297846,2,2021-04,
1493,276845708,2,2021-04,
1494,227347371,2,2021-04,
1495,225549581,2,2021-04,
1496,319575342,2,2021-04,
1497,233520812,1,2021-04,
1498,321995806,1,2021-04,
1499,133907444,1,2021-04,
1500,89484677,1,2021-04,
1501,103466347,1,2021-04,
1502,333611338,0,2021-04,
1503,75912778,0,2021-04,
1504,127693333,0,2021-04,
1505,227880026,0,2021-04,
1506,196743910,0,2021-04,
1507,243677660,0,2021-04,
1508,259220361,0,2021-04,
1509,240230342,0,2021-04,
1510,274012656,0,2021-04,
1511,171811851,0,2021-04,
1512,217475193,186,2021-05,PaddleDetection
1513,262296122,125,2021-05,PaddleOCR
1514,65711522,78,2021-05,Paddle
1515,273214029,39,2021-05,PaddleGAN
1516,162672577,38,2021-05,PaddleHub
1517,88868842,32,2021-05,models
1518,240226378,32,2021-05,
1519,336274588,30,2021-05,PaddleNLP
1520,131044128,24,2021-05,
1521,204380779,20,2021-05,PaddleSeg
1522,114885555,19,2021-05,
1523,173544440,17,2021-05,
1524,251201169,17,2021-05,
1525,246509073,17,2021-05,
1526,164796418,14,2021-05,
1527,228290594,14,2021-05,PaddleSlim
1528,136450404,13,2021-05,
1529,110688239,9,2021-05,
1530,104208128,9,2021-05,
1531,227347371,9,2021-05,
1532,191286408,9,2021-05,
1533,321995806,7,2021-05,
1534,127693333,7,2021-05,
1535,250154445,7,2021-05,
1536,259513732,7,2021-05,
1537,178685945,6,2021-05,
1538,173032424,5,2021-05,
1539,76616099,5,2021-05,
1540,203514079,4,2021-05,
1541,314704349,3,2021-05,
1542,127058653,2,2021-05,
1543,365999954,2,2021-05,
1544,161509700,2,2021-05,
1545,261698998,2,2021-05,
1546,276845708,2,2021-05,
1547,89484677,2,2021-05,
1548,225549581,1,2021-05,
1549,244790548,1,2021-05,
1550,243677660,1,2021-05,
1551,227880026,1,2021-05,
1552,196743910,1,2021-05,
1553,312259012,1,2021-05,
1554,333611338,1,2021-05,
1555,264782838,1,2021-05,
1556,302509341,1,2021-05,
1557,210520127,0,2021-05,
1558,228297846,0,2021-05,
1559,133907444,0,2021-05,
1560,259220361,0,2021-05,
1561,319575342,0,2021-05,
1562,233520812,0,2021-05,
1563,274012656,0,2021-05,
1564,240230342,0,2021-05,
1565,171811851,0,2021-05,
1566,210873203,0,2021-05,
