,repo_id,stars,year_month,community
185,98599362,8,2018-04,
186,127058653,6,2018-04,
187,123634214,3,2018-04,
188,93210289,3,2018-04,
189,101101544,3,2018-04,
190,103466347,3,2018-04,
191,89484677,3,2018-04,
192,131044128,0,2018-04,
193,127693333,0,2018-04,
194,125206311,0,2018-04,
195,99488243,0,2018-04,
196,98356563,0,2018-04,
197,65711522,175,2018-05,Paddle
198,133907444,104,2018-05,
199,114885555,65,2018-05,
200,76616099,63,2018-05,
201,104208128,51,2018-05,
202,110688239,40,2018-05,
203,88868842,37,2018-05,models
204,131044128,7,2018-05,
205,127058653,5,2018-05,
206,101101544,5,2018-05,
207,98599362,4,2018-05,
208,103829150,1,2018-05,
209,125206311,1,2018-05,
210,123634214,1,2018-05,
211,89484677,1,2018-05,
212,127693333,0,2018-05,
213,88829446,0,2018-05,
214,103466347,0,2018-05,
215,105948868,0,2018-05,
216,114885555,205,2018-06,
217,65711522,168,2018-06,Paddle
218,133907444,68,2018-06,
219,104208128,38,2018-06,
220,76616099,38,2018-06,
221,88868842,37,2018-06,models
222,110688239,17,2018-06,
223,131044128,4,2018-06,
224,98599362,4,2018-06,
225,89484677,3,2018-06,
226,137793455,3,2018-06,
227,101101544,2,2018-06,
228,127058653,2,2018-06,
229,123634214,1,2018-06,
230,76994289,1,2018-06,
231,127693333,1,2018-06,
232,103829150,1,2018-06,
233,125206311,0,2018-06,
234,136450404,0,2018-06,
235,103466347,0,2018-06,
236,65711522,216,2018-07,Paddle
237,104208128,61,2018-07,
238,76616099,60,2018-07,
239,88868842,59,2018-07,models
240,114885555,57,2018-07,
241,133907444,28,2018-07,
242,110688239,16,2018-07,
243,123634214,4,2018-07,
244,137793455,2,2018-07,
245,93210289,2,2018-07,
246,98599362,2,2018-07,
247,127693333,1,2018-07,
248,139537415,1,2018-07,
249,89484677,1,2018-07,
250,101101544,1,2018-07,
251,131044128,1,2018-07,
252,103466347,0,2018-07,
253,125206311,0,2018-07,
254,136450404,0,2018-07,
255,65711522,137,2018-08,Paddle
256,104208128,43,2018-08,
257,88868842,40,2018-08,models
258,133907444,39,2018-08,
259,114885555,35,2018-08,
260,76616099,32,2018-08,
261,110688239,17,2018-08,
262,123634214,4,2018-08,
263,131044128,2,2018-08,
264,93210289,1,2018-08,
265,127693333,1,2018-08,
266,89484677,1,2018-08,
267,105948868,1,2018-08,
268,127058653,0,2018-08,
269,101101544,0,2018-08,
270,73922086,0,2018-08,
271,103466347,0,2018-08,
272,98599362,0,2018-08,
273,76994289,0,2018-08,
274,125206311,0,2018-08,
275,75261722,0,2018-08,
276,103829150,0,2018-08,
277,88800008,0,2018-08,
278,79296035,0,2018-08,
279,136450404,0,2018-08,
280,139537415,0,2018-08,
281,65711522,124,2018-09,Paddle
282,88868842,45,2018-09,models
283,104208128,37,2018-09,
284,114885555,34,2018-09,
285,133907444,22,2018-09,
286,76616099,22,2018-09,
287,110688239,12,2018-09,
288,136450404,3,2018-09,
289,98599362,3,2018-09,
290,123634214,3,2018-09,
291,89484677,2,2018-09,
292,93210289,2,2018-09,
293,101101544,1,2018-09,
294,99488243,1,2018-09,
295,131044128,1,2018-09,
296,127058653,1,2018-09,
297,127693333,0,2018-09,
298,125206311,0,2018-09,
299,103466347,0,2018-09,
300,65711522,116,2018-10,Paddle
301,114885555,57,2018-10,
302,76616099,34,2018-10,
303,104208128,34,2018-10,
304,88868842,31,2018-10,models
305,133907444,15,2018-10,
306,110688239,15,2018-10,
307,89484677,4,2018-10,
308,98599362,3,2018-10,
309,101101544,2,2018-10,
310,131044128,2,2018-10,
311,123634214,1,2018-10,
312,103466347,1,2018-10,
313,137793455,1,2018-10,
314,136450404,1,2018-10,
315,127058653,1,2018-10,
316,125206311,0,2018-10,
317,75912778,0,2018-10,
318,127693333,0,2018-10,
319,65711522,174,2018-11,Paddle
320,88868842,62,2018-11,models
321,104208128,61,2018-11,
322,76616099,53,2018-11,
323,114885555,42,2018-11,
324,133907444,20,2018-11,
325,110688239,16,2018-11,
326,131044128,6,2018-11,
327,136450404,3,2018-11,
328,103829150,2,2018-11,
329,101101544,2,2018-11,
330,98599362,1,2018-11,
331,123634214,1,2018-11,
332,103466347,1,2018-11,
333,89484677,1,2018-11,
334,75912778,1,2018-11,
335,137793455,1,2018-11,
336,93210289,0,2018-11,
337,127693333,0,2018-11,
338,139537415,0,2018-11,
339,125206311,0,2018-11,
340,127058653,0,2018-11,
341,65711522,112,2018-12,Paddle
342,114885555,80,2018-12,
343,76616099,53,2018-12,
344,88868842,53,2018-12,models
345,104208128,29,2018-12,
346,110688239,28,2018-12,
347,133907444,17,2018-12,
348,131044128,4,2018-12,
349,127058653,4,2018-12,
350,123634214,3,2018-12,
351,101101544,3,2018-12,
352,89484677,1,2018-12,
353,136450404,1,2018-12,
354,105948868,1,2018-12,
355,98599362,1,2018-12,
356,127693333,0,2018-12,
357,75912778,0,2018-12,
358,125206311,0,2018-12,
359,161509700,0,2018-12,
360,162672577,0,2018-12,PaddleHub
361,103466347,0,2018-12,
362,139537415,0,2018-12,
363,162671000,0,2018-12,
364,131044128,183,2019-01,
365,65711522,163,2019-01,Paddle
366,114885555,87,2019-01,
367,76616099,59,2019-01,
368,88868842,59,2019-01,models
369,104208128,44,2019-01,
370,110688239,13,2019-01,
371,133907444,10,2019-01,
372,136450404,4,2019-01,
373,101101544,2,2019-01,
374,164796418,2,2019-01,
375,98599362,1,2019-01,
376,127058653,1,2019-01,
377,162672577,1,2019-01,PaddleHub
378,127693333,1,2019-01,
379,103466347,1,2019-01,
380,125206311,1,2019-01,
381,75912778,0,2019-01,
382,65711522,113,2019-02,Paddle
383,88868842,66,2019-02,models
384,114885555,42,2019-02,
385,104208128,32,2019-02,
386,76616099,31,2019-02,
387,131044128,24,2019-02,
388,110688239,14,2019-02,
389,133907444,10,2019-02,
390,101101544,6,2019-02,
391,136450404,2,2019-02,
392,123634214,2,2019-02,
393,103466347,1,2019-02,
